¿Que explica Darwin mediante seleccion natural?	La evolucion por diferencias de aptitud y reproduccion sobre variaciones heredables.
¿Que explica Lamarck mediante uso y desuso?	La adaptacion por caracteres adquiridos que luego se heredan.
¿Darwin sostiene que los rasgos nuevos aparecen para adaptarse al ambiente?	No.
¿En Darwin, la aparicion de nuevos rasgos puede ser azarosa?	Si.
¿En Darwin, un rasgo nuevo siempre es beneficioso?	No. Puede ser beneficioso, neutro o perjudicial.
¿La aptitud depende del ambiente segun Darwin?	Si.
¿Darwin sostiene una direccion fija hacia mayor complejidad?	No.
¿Lamarck sostiene una tendencia general hacia mayor complejidad?	Si.
¿Que error teleologico conviene evitar en Darwin?	Decir que un rasgo aparecio “para” adaptarse.
En Darwin, los organismos mas aptos...	Dejan mayor descendencia en un ambiente determinado.
En Lamarck, el uso intensivo de un organo...	Favorece su desarrollo y ese rasgo adquirido se hereda.
¿Darwin acepta herencia de caracteres adquiridos por uso y desuso?	No.
“Los ancestros con cuello mas largo dejaron mas descendencia” corresponde a...	Darwin.
“Las jirafas estiraron el cuello y heredaron ese cambio” corresponde a...	Lamarck.
“Los organismos mas complejos no necesariamente son los mas adaptados” corresponde a...	Darwin.
“La evolucion va de lo simple a lo complejo” corresponde a...	Lamarck.
¿Hay una direccion definida para la evolucion en Darwin?	No. Cambia con el ambiente y con los rasgos favorecidos en cada contexto.
¿Que requiere la seleccion natural para operar?	Variacion heredable entre individuos y diferencias de aptitud.
¿Los descendientes son identicos a sus progenitores segun Darwin?	No. Se parecen, pero presentan variaciones.
¿Darwin favorece al mas fuerte siempre?	No. Favorece al mas apto para un ambiente determinado.
