¿Que es un enunciado empirico basico segun Klimovsky?	Un enunciado empirico singular o muestral, accesible a la experiencia y decidible empiricamente.
¿Los enunciados empiricos basicos pueden incluir interpretaciones teoricas?	No.
¿Por que los enunciados empiricos basicos son utiles para la ciencia?	Porque su verdad o falsedad puede decidirse empiricamente y sirven para contrastar teorias.
¿Que tipo de muestra puede aparecer en un enunciado empirico basico?	Una muestra abarcable por la experiencia.
¿Que produce la induccion sobre enunciados empiricos basicos?	Generalizaciones empiricas.
¿Las generalizaciones empiricas siempre son leyes cientificas?	No.
¿Una generalizacion empirica usa solo terminos empiricos o mezcla teoria?	Solo terminos empiricos.
¿Que es una generalizacion empirica universal?	La que afirma algo de todos los miembros de una poblacion.
¿Que es una generalizacion empirica estadistica?	La que afirma una proporcion o porcentaje sobre una poblacion no abarcable por la experiencia.
“El 42% de los voluntarios del estudio...” suele clasificarse como...	Enunciado empirico basico, porque refiere a una muestra concreta.
“El 6% de la poblacion mundial...” suele clasificarse como...	Generalizacion empirica estadistica.
¿La ciencia clara y precisa de Bunge implica que?	Usa un lenguaje objetivo y libre de ambiguedades.
¿La ciencia sistematica de Bunge implica que?	El conocimiento cientifico esta organizado logicamente y jerarquicamente.
¿La ciencia metodica de Bunge implica que?	Trabaja con procedimientos ordenados y planificados.
¿La ciencia abierta de Bunge implica que?	Puede ser corregida, continuada o refutada.
¿La ciencia util de Bunge implica que?	Sus desarrollos tienen posibles aplicaciones practicas.
¿La ciencia especializada de Bunge implica que?	Aborda problemas complejos con marcos y herramientas especificas.
¿La ciencia trasciende los hechos significa que?	No se queda en la mera apariencia de los hechos, sino que construye explicaciones mas generales.
