¿Que es una hipotesis en el proceso de contrastacion?	El enunciado general que se pone a prueba.
¿Que es una hipotesis auxiliar?	Una suposicion adicional necesaria para derivar predicciones a partir de la hipotesis principal.
¿Que es una prediccion?	Una afirmacion derivada de la hipotesis que se espera verificar o refutar experimentalmente.
¿Que son los datos?	Los hechos efectivamente observados u obtenidos en la contrastacion.
¿Que son las condiciones iniciales?	Las condiciones especificas bajo las cuales se realiza la prueba de la hipotesis.
¿Las condiciones iniciales importan para la validez del experimento?	Si.
¿Las hipotesis auxiliares son lo mismo que los datos?	No.
¿Las predicciones son lo mismo que los datos?	No. Las predicciones son esperadas; los datos son observados.
En un experimento, “los sujetos mejoraron su capacidad cardiovascular” corresponde a...	Datos, si eso fue lo observado.
En un experimento, “los sujetos mejoraran su capacidad cardiovascular” corresponde a...	Prediccion.
“El entrenamiento cognitivo mejora la memoria” corresponde a...	Hipotesis.
¿Que postura adopta Popper frente a la verificacion definitiva de hipotesis?	La rechaza.
¿Como llama Popper al resultado favorable de una contrastacion?	Corroboracion.
¿Una hipotesis corroborada queda demostrada como verdadera?	No.
¿Que significa que una hipotesis este corroborada?	Que resistio por el momento los intentos de refutacion.
Segun Popper, una teoria cientifica debe ser...	Falsable.
¿Que es un falsador potencial?	Un posible enunciado observacional que, si ocurriera, refutaria la hipotesis.
¿Popper acepta la induccion como base de confirmacion?	No.
¿Que formula de razonamiento esta detras de la refutacion popperiana?	Modus Tollens.
¿Que diferencia central hay entre corroborar y verificar?	Corroborar es aceptacion provisoria; verificar implica verdad definitiva, que Popper rechaza.
