Front	Back	Tags
<b>Se puede afirmar que los virus:</b><br><br>A. Son entidades celulares.<br>B. Poseen material genético propio.<br>C. Se reproducen por sí mismos.<br>D. Tienen metabolismo propio.<br>	"<b style=""color:green;'>✅ B. Poseen material genético propio.</b><br><br><i>Apariciones: 3 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Frecuente
<b>Es posible observar la interacción entre diferentes tejidos en el nivel de organización:</b><br><br>A. Celular.<br>B. Órgano.<br>C. Sistema.<br>D. Organismo.<br>	"<b style=""color:green;'>✅ B. Órgano.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>Una de las características de la molécula de ADN es que:</b><br><br>A. Se asocia a la membrana nuclear de las células procariotas.<br>B. Puede estar asociada a proteínas, formando los ribosomas.<br>C. Las dos cadenas que la forman se unen por puentes de hidrógeno.<br>D. Está formada por monómeros llamados monosacáridos.<br>	"<b style=""color:green;'>✅ C. Las dos cadenas que la forman se unen por puentes de hidrógeno.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>Un $H^{+}$ no difunde libremente a través de la membrana debido a:</b><br><br>A. La ausencia de carga eléctrica.<br>B. Que es una molécula polar.<br>C. Estar rodeado de moléculas de agua y la nube acuosa es grande.<br>D. Que es liposoluble.<br>	"<b style=""color:green;'>✅ C. Estar rodeado de moléculas de agua y la nube acuosa es grande.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>La teoría celular moderna afirma que:</b><br><br>A. La mínima unidad de vida son las organelas.<br>B. El funcionamiento de un organismo es independiente de la interacción de sus células.<br>C. Se considera a los virus como organismos vivos.<br>D. Toda célula surge de otra célula.<br>	"<b style=""color:green;'>✅ D. Toda célula surge de otra célula.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>Con respecto al retículo endoplásmico rugoso, se afirma que:</b><br><br>A. Está ausente en células vegetales.<br>B. En células con activa síntesis proteica se encuentra muy desarrollado.<br>C. Es la organela donde se glicosilan los lípidos de las membranas.<br>D. Sintetiza lípidos.<br>	"<b style=""color:green;'>✅ B. En células con activa síntesis proteica se encuentra muy desarrollado.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>Una característica de los microfilamentos es que:</b><br><br>A. Requieren de GTP para su polimerización.<br>B. Son formados a partir de dos tubulinas.<br>C. Se asocian con dineína y quinesina para el transporte de vesículas y macromoléculas.<br>D. Se clasifican en corticales y transcelulares.<br>	"<b style=""color:green;'>✅ D. Se clasifican en corticales y transcelulares.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>La fosfatidilcolina se diferencia de un triglicérido en que, el primero:</b><br><br>A. Es un lípido anfipático.<br>B. Posee ácidos grasos unidos al glicerol.<br>C. Se considera una fuente de energía a largo plazo.<br>D. A pH alcalino forma sales de ácidos grasos porque es saponificable.<br>	"<b style=""color:green;'>✅ B. Posee ácidos grasos unidos al glicerol.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>En relación a los hidratos de carbono de la membrana plasmática, se afirma que:</b><br><br>A. Están unidos al colesterol de la membrana.<br>B. Se ubican en la cara externa de la membrana.<br>C. Forman gangliósidos al asociarse con ceramidas.<br>D. Se localizan sobre ambas caras de la misma.<br>	"<b style=""color:green;'>✅ B. Se ubican en la cara externa de la membrana.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>Una diferencia entre el almidón y el glucógeno es que:</b><br><br>A. El glucógeno es un homopolisacárido y el almidón un heteropolisacárido.<br>B. Son distintos los organismos que los generan.<br>C. El almidón almacena energía y el glucógeno forma el glucocáliz.<br>D. Son diferentes los monosacáridos que los conforman.<br>	"<b style=""color:green;'>✅ B. Son distintos los organismos que los generan.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>La función de la dineína en la estructura ciliar es:</b><br><br>A. La regulación del crecimiento del cilio.<br>B. El mantenimiento de la estructura ciliar.<br>C. Asociar la estructura ciliar y el cuerpo basal.<br>D. Participar del movimiento ciliar.<br>	"<b style=""color:green;'>✅ D. Participar del movimiento ciliar.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>En relación a los monómeros de las proteínas se afirma que:</b><br><br>A. Al unirse forman la estructura 1ria. de la proteína.<br>B. Se encuentran unidos por enlaces fosfodiéster.<br>C. Su combinación se realiza entre el extremo NH2 de uno de ellos y la cadena lateral del siguiente.<br>D. Su molécula posee dos extremos amino terminales (NH2).<br>	"<b style=""color:green;'>✅ A. Al unirse forman la estructura 1ria. de la proteína.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>Las chaperonas cumplen la función de:</b><br><br>A. Sintetizar ADN.<br>B. Transportar sustancias a través de la membrana.<br>C. Asistir en el plegamiento de las proteínas.<br>D. Proteger el ADN.<br>	"<b style=""color:green;'>✅ C. Asistir en el plegamiento de las proteínas.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>La ubicación del cromosoma en la célula procarionte es:</b><br><br>A. El nucleoide.<br>B. Íntegramente el núcleo.<br>C. La mitocondria.<br>D. El retículo endoplasmático rugoso.<br>	"<b style=""color:green;'>✅ A. El nucleoide.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
