¿Que es una falacia segun Bordes?	Un argumento no razonable o racionalmente no convincente que viola criterios de buena argumentacion.
¿Una falacia puede tener conclusion verdadera?	Si.
¿Una falacia se detecta por el contenido o por la forma de argumentar?	Por la forma de argumentar.
¿Que criterios usa Moraga para evaluar una buena argumentacion?	Credibilidad, relevancia y suficiencia.
“Si mucha gente lo cree, debe ser verdad”	Falacia ad populum.
“Lo dijo una autoridad, entonces es verdad”	Falacia ad verecundiam.
“No le creas porque esa persona es corrupta / joven / ignorante”	Falacia ad hominem.
“Desde que hice X paso Y; entonces X causo Y”	Falacia de causa falsa o post hoc ergo propter hoc.
¿Que falacia apela a la popularidad como prueba?	Ad populum.
¿Que falacia apela a la autoridad como prueba?	Ad verecundiam.
¿Que falacia ataca a la persona en vez del argumento?	Ad hominem.
¿Que falacia confunde sucesion temporal con causalidad?	Post hoc ergo propter hoc.
¿Que es el pensamiento errado segun Jaimes?	La conjuncion de falacias y sesgos cognitivos que sostienen creencias pseudocientificas.
Pensamiento errado =	Falacias y sesgos cognitivos.
¿Por que una falacia puede parecer persuasiva?	Porque puede sonar razonable aunque inferencialmente este mal construida.
“No deberias opinar de politica, tenes 20 anos”	Ad hominem.
“La doctora X recomienda meditacion, entonces debe funcionar”	Ad verecundiam.
“Todos dicen que las vacunas son peligrosas, por algo sera”	Ad populum.
“Tomo vitamina C y no me resfrie; entonces la vitamina C previene resfrios”	Causa falsa.
